"File","SizeinKB","LastModified","Hash"
"C:\CharlesRiver\81311\Charles River IMS AddIn\stdole.dll","16","7/5/2004 10:16:12 AM","E1EEB7E26AB04075EECC7275239B20B3"
"C:\CharlesRiver\81311\Charles River IMS AddIn\SubscribeTaxLot.xml","6.61","1/12/2005 9:47:14 AM","9D6728F7559D6FA9EE3ADE60659A4875"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Subscriptions.xml","0.67","1/31/2006 10:17:32 AM","AAAD34302AA54433C92D68B420F67FBD"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Samples\CharlesRiverHedge Sample.xls","544","10/13/2005 10:09:04 AM","DCD85ECE34A86867C2F2B54A4467BAD0"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Samples\Excel Addin Sample.xls","1020","11/18/2005 10:26:14 AM","CBF924C4327E0C8A6F2C786610B796F7"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Samples\Model Sample.xls","248","10/13/2005 10:13:20 AM","BE0326ECE8FD126CB7CA990439E0C657"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Samples\Model With Intraday positions Sample.xls","497.5","10/13/2005 10:13:56 AM","4F7033DD1856746C8F2072F4C5315131"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Samples\Model.xls","76.5","2/24/2006 9:27:38 AM","6F3989F5285339A4D4656E9180349E35"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Samples\OrderService_And_PlaceFill Sample.xls","1995","10/13/2005 10:18:46 AM","BEB57B01594A11971414DDF756A8BAA4"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Samples\OrderService_And_PlaceFill_Dialog Sample.xls","1164","10/13/2005 10:19:20 AM","0A2B22414D1E134227A429559FF362A9"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Samples\ProgramTrades Sample.xls","34.5","10/13/2005 10:19:58 AM","C1FF998337E63A14663A5A63F27F3361"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Samples\ProgramTrades_bulk_OrderCreate Sample.xls","919","10/13/2005 10:20:22 AM","7780AFBDED0D0BF4A36D23605773F9E8"
"C:\CharlesRiver\81311\Charles River IMS AddIn\Samples\Targeting Sample.xls","982","10/13/2005 10:21:00 AM","50734D820E37E5BEDEB2459CE063BD33"
"C:\Data\alldesktop.xlsx","116.58","11/14/2013 9:52:35 AM","6904DF2FCA2E6C40C54904D22F27811D"
"C:\Data\allservers.xlsx","38.44","11/15/2013 11:41:56 AM","35403788828EB5943F584D8D8777E406"
"C:\Data\allUSPc.txt","47.77","10/7/2013 4:14:35 PM","E3AE25334FC050CC7A3047FC79A69CF1"
"C:\Data\computer.txt","0.6","10/22/2013 4:48:46 PM","8A64F061E59EA23BEC38BAAA2B60B6E0"
"C:\Data\Configure-PerformanceMonitor-v2.ps1","252.28","10/28/2013 2:59:40 PM","E31C22A6535D6DC6A4E00F108978478E"
"C:\Data\dailyMcUsers.csv","0.01","10/7/2013 4:14:38 PM","ED19CA99581136D44B35BBB2240A6BF6"
"C:\Data\DailyTasks.csv","26.97","11/18/2013 10:29:03 AM","145B51E80695652AA60C3EE7EE5B39C6"
"C:\Data\dailytasksum.csv","0.89","11/19/2013 11:29:11 AM","72AC26BCDCE1CE4710A843E0037379BC"
"C:\Data\dc-comp.csv","0.43","11/13/2013 8:40:37 AM","47022FEE83628FB0235900A5C502AD33"
"C:\Data\dc-comp.xlsx","9.6","11/13/2013 2:54:40 PM","D7799B877512B7A70849F984E588D0FE"
"C:\Data\Dell-MSS-BrowserCertificate.p12","3.69","11/6/2013 7:44:17 AM","2889176C7EF261C7E32A16CE8980E6BA"
"C:\Data\fosus1.csv","5.06","10/29/2013 2:52:52 PM","DBA679ED2BA4BA4E061D8D61B2C15B45"
"C:\Data\fosus2.csv","3.88","10/29/2013 2:54:44 PM","3007BF5E2EB506CEA1D95642C42FD801"
"C:\Data\gpresult.html","394.44","10/18/2013 12:08:59 PM","EA8663FFECED834D87A81F3CC4F51451"
"C:\Data\gpresult.txt","48.54","10/18/2013 12:05:54 PM","131DE38235F9E56ACE8399FCA0D391AE"
"C:\Data\IIS-ZipRemove-Opt2.ps1","4.06","10/29/2013 3:31:24 PM","2839041993C8E50A8484387240862499"
"C:\Data\IIS-ZipRemove.ps1","2.04","10/29/2013 3:28:28 PM","53F466BD2C97687474D2A5FF491C3669"
"C:\Data\IISLogFileArchive.ps1","9.93","10/29/2013 3:43:36 PM","5B4DEA71C328F35FF8739E17D38572DF"
"C:\Data\ngrep.exe","80","10/21/2013 11:57:14 AM","D1010F5D500A2A79F66DBDA1EF9B4E22"
"C:\Data\operations.json","422.64","11/15/2013 3:39:00 PM","3E9BF68EA29F265590E669C23FC1D377"
"C:\Data\Powershell Find LoopBack Processing GPO.txt","5.01","10/18/2013 12:07:32 PM","78A3142A592327A1AA51CDBFD2245DDA"
"C:\Data\svcSQL.png","13.55","11/4/2013 1:32:47 PM","A9E18784819C2094C73CF9DA04CEE961"
"C:\Data\test.xml","28.62","10/22/2013 2:37:41 PM","29696D65F62993029428A07F520758BF"
"C:\Data\tropo.ps1","0.66","11/13/2013 2:52:42 PM","0CF1B60073DE10AD567D2ACEF4D2EAFC"
"C:\Data\u_ex131026.log","86357.27","10/26/2013 8:00:00 PM","36A860058941A333E5B0D8B0DC6F78B0"
"C:\Data\AAMDesktop\AAMDesktop-v1.0.1.ps1","42.48","10/9/2013 9:15:34 AM","24A6B021828C612DE9FA918BF9866FE0"
"C:\Data\AAMDesktop\AAMDesktop.rar","8.99","12/20/2013 11:49:52 AM","8E25FAAD3990ACA22FE24150C61957FF"
"C:\Data\AAMDesktop\AWSA-v3.ps1","41.4","10/28/2013 11:19:41 AM","C8891932E0342A07D7CAFE6F5EB7D639"
"C:\Data\AAMDesktop\AWSA.Options.xml","2.75","10/8/2013 3:24:21 PM","5C98BA3F9D1DA87B7ECE4B9CBE4DA580"
"C:\Data\AAMDesktop\Install-WindowsADModuleForWin7.ps1","0.53","10/8/2013 4:22:05 PM","1E164D94F0894C6A0D75966656A05FB0"
"C:\Data\AAMDesktop\kb958830.msu","245284.18","10/8/2013 4:04:19 PM","F1457C27E63A23CDBEC93D4558666314"
"C:\Data\AAMDesktop\Ps103.ps1","0.9","11/12/2013 12:14:59 PM","A3380EB7009CB206B209809975E7B8D3"
"C:\Data\AAMDesktop\QAD-computer-path.ps1","0.2","11/12/2013 2:24:41 PM","8D69B5AFCBEA9E9D7B1B7BAD1774EA5E"
"C:\Data\AAMDesktop\Specs-v1.0.xlsx","9.05","10/8/2013 3:21:49 PM","454FA0E1290BD6AE544AFE465E876ADD"
"C:\Data\IISLogFileArchive\IISLogFileArchive.ps1","13.22","10/29/2013 10:42:20 AM","7C014A00BC762DA1C1325BE3491E3AD1"
"C:\Data\PAL\ActiveDirectory.xml","10.34","7/17/2012 1:44:50 PM","2AB2741F8550252B65E2EFBF5C2A13BA"
"C:\Data\PAL\Asp.xml","9.98","6/27/2012 4:36:36 PM","00BB9626C1212F6535B07E23200F51F5"
"C:\Data\PAL\AspDotNet.xml","21.11","9/25/2013 12:25:06 AM","6ABD60C92E5B0B865387A270A148C5E0"
"C:\Data\PAL\BizTalkServer2006.xml","127.66","9/25/2013 12:26:20 AM","04DC819C70001F1B4D238426B13B5F8D"
"C:\Data\PAL\BuildNotes.txt","22.54","9/27/2013 9:50:06 AM","5CA22B031F1D10D7EECC7D01D8E71C2D"
"C:\Data\PAL\CitrixXenApp.xml","17.56","11/23/2011 4:09:14 PM","09EEF0DDD90EF69CCAAB13CA9E14C4CA"
"C:\Data\PAL\Custom.xml","0.44","8/22/2013 2:44:04 PM","B753010CAD17684F152403866DC489DA"
"C:\Data\PAL\DotNet.xml","11.08","9/25/2013 12:24:36 AM","25648E9C9F96F064878BD52BFDD4E502"
"C:\Data\PAL\DynamicsAX.xml","6.85","11/23/2011 4:09:14 PM","D64054A22EA0F04D338EFB134FFDBFE1"
"C:\Data\PAL\DynamicsAX2012AOS.xml","18.58","1/11/2012 12:27:42 AM","0112D046CBC5D6B52685C0432CC2103D"
"C:\Data\PAL\Exchange.xml","164.26","11/23/2011 4:09:14 PM","D31D4286A01AC7B1E44FF89F1E4E8C3A"
"C:\Data\PAL\Exchange2003.xml","75.38","7/17/2012 1:46:10 PM","27F12E5DFA15BDAB59F7792ABE1E94A9"
"C:\Data\PAL\Exchange2007-CAS-TechNet.xml","41.84","6/14/2012 3:58:20 PM","16D56A44F03053869A84150D0ADEEDE4"
"C:\Data\PAL\Exchange2007-CAS.xml","124.54","11/23/2011 4:09:14 PM","D0170AC4957063518F3B902472A8D6F7"
"C:\Data\PAL\Exchange2007-Common-TechNet.xml","82.7","9/24/2013 11:53:08 PM","598D4C41FE5EEF0CCF5293A582F5BBF6"
"C:\Data\PAL\Exchange2007-EDGE-TechNet.xml","100.86","6/14/2012 3:11:06 PM","606BBD288CBAED4666589341CE363943"
"C:\Data\PAL\Exchange2007-HUB-TechNet.xml","79.52","6/14/2012 4:03:42 PM","FBF80E7B42BA0EC449460345AC87E6E9"
"C:\Data\PAL\Exchange2007-HUB.xml","152.17","9/5/2012 9:24:14 AM","CF823F9573B0CB79B7901DAE950E6703"
"C:\Data\PAL\Exchange2007-HUBCAS-TechNet.xml","3.74","6/13/2012 3:50:30 PM","CA3B5F40CD35FC08AA8567057AA502FA"
"C:\Data\PAL\Exchange2007-HUBCAS.xml","197.59","11/23/2011 4:09:14 PM","3356CD506818298719FCF7D84253F1DC"
"C:\Data\PAL\Exchange2007-HUBCASMBX-TechNet.xml","3.88","6/13/2012 4:17:54 PM","33543BC93F846A2EB28B91D5A9083FAA"
"C:\Data\PAL\Exchange2007-HUBMBX-TechNet.xml","0.59","6/13/2012 12:28:08 PM","A152EDD463882DF2ADD4C6DF80C5E4F1"
"C:\Data\PAL\Exchange2007-MBX-TechNet.xml","140.71","6/13/2012 4:09:12 PM","BD7FB229ECFE357746B9F776DBC091EF"
"C:\Data\PAL\Exchange2007-MBX.xml","166.56","11/23/2011 4:09:14 PM","C7B5C39A3000B0BD9C64E123FD284930"
"C:\Data\PAL\Exchange2007-UM-TechNet.xml","14.73","6/14/2012 11:45:54 AM","7967598FA1B3F485FA0ABD896C74BDB7"
"C:\Data\PAL\Exchange2010.xml","268.19","12/20/2011 12:06:56 PM","8F9052E2429A1F50CDB2529EB1D837AB"
"C:\Data\PAL\FS4SP.xml","9.71","11/23/2011 4:09:14 PM","84631B30435C6523DE0DC7C0F25C5A30"
"C:\Data\PAL\HyperV.xml","38.85","11/23/2011 4:09:14 PM","235A6938DD4EED9622BDFE8689A3A4EE"
"C:\Data\PAL\HyperV30.xml","52.99","6/4/2012 3:48:12 AM","DCF6E9566B4271C661402E9541791247"
"C:\Data\PAL\ICIPThresholds.xml","4.15","11/23/2011 4:09:14 PM","0DB30144B8DBC1DB57B2675C4A129F82"
"C:\Data\PAL\IIS.xml","41.43","9/25/2013 12:26:38 AM","9ADFE2069532279641F32A08BB00DBBA"
"C:\Data\PAL\MOSS_Search.xml","22.83","9/28/2013 12:11:14 PM","CF027078F5CF5F78C2B5FECD7FFC17CE"
"C:\Data\PAL\OCS2007R2-Archiving.xml","5.58","11/23/2011 4:09:14 PM","613D88C62657C22E35213A57B54BF2AD"
"C:\Data\PAL\OCS2007R2-CWA.xml","27.11","11/23/2011 4:09:14 PM","C965C14D309442838532F02C57626648"
"C:\Data\PAL\OCS2007R2-Edge.xml","113.18","12/3/2012 9:22:46 PM","31E32218D73C219BFB5C0E3C053EAAB1"
"C:\Data\PAL\OCS2007R2-Enterprise.xml","104.52","11/23/2011 4:09:14 PM","AFDBED272BF6DFD3D4C5BA04F34E2407"
"C:\Data\PAL\OCS2007R2-Mediation.xml","2.51","11/23/2011 4:09:14 PM","9DA0C8EA91A0EF8DA5291689CD9D2F95"
"C:\Data\PAL\OCS2007R2-Monitoring.xml","8.13","11/23/2011 4:09:14 PM","B95E771E62F88CF501C296F1272DDB86"
"C:\Data\PAL\OCS2007R2-Standard.xml","102.41","11/23/2011 4:09:14 PM","FD800731E6052ADF3C1EA56AAB1C6CCE"
"C:\Data\PAL\PAL.ICO","1.05","6/22/2007 1:59:22 PM","40FDDDE5DAC478A6195C2F0447A80900"
"C:\Data\PAL\PAL.ps1","239.62","9/28/2013 2:40:16 PM","9126E693989E08326380A1DA2B71060A"
"C:\Data\PAL\PalAnalyze.ps1","108.88","9/5/2013 1:24:36 PM","90B48BE119991E3D6988C5E2C8EC9113"
"C:\Data\PAL\PalCollector.ps1","11.57","2/19/2013 9:10:04 PM","696951EDC051FD6ADAF1640E7F1ACB20"
"C:\Data\PAL\PALFunctions.dll","43.5","9/28/2013 2:47:20 PM","7F172F93AFA2D046F51BD0052142603B"
"C:\Data\PAL\PALFunctions.pdb","69.5","9/28/2013 2:47:20 PM","FD83ED22E9E57E1BFF6CE1F5A585B46C"
"C:\Data\PAL\PALWizard.exe","327","9/28/2013 2:47:20 PM","AB5090E4FC361C7C58DBD775ED453AEE"
"C:\Data\PAL\PALWizard.pdb","277.5","9/28/2013 2:47:20 PM","5790FDF4A5D6012997434847296BA3D5"
"C:\Data\PAL\PAL_VMwareView_PCoIP.xml","69.49","10/30/2012 10:17:24 AM","04194572AAA3661EA49025D73D1DFF4D"
"C:\Data\PAL\PAL_VMwareView_VDM.xml","12.3","10/30/2012 10:17:28 AM","1D5A2E80E49191BA7CF49FD284AEF636"
"C:\Data\PAL\ProjectServer.xml","100.45","11/23/2011 4:09:14 PM","75D62A7AD0D32C1D1E51DDB1A50DF584"
"C:\Data\PAL\QuickSystemOverview.xml","240.22","9/28/2013 2:37:48 PM","8230A521DF2FE2F90E7D4DE935D948B7"
"C:\Data\PAL\Readme.txt","4.68","8/31/2010 9:43:22 PM","6BE28FD05BB24FB2BBEEF4705B87E007"
"C:\Data\PAL\SamplePerfmonLog.blg","448","8/14/2007 11:50:40 AM","6162BF241CCD240917BEA091B8C24599"
"C:\Data\PAL\SharePoint.xml","5.47","11/23/2011 4:09:14 PM","C46E9A34A84898406E6A8AE0E2ACF5D9"
"C:\Data\PAL\SPS2010.xml","20.15","11/23/2011 4:09:14 PM","759D2D66FEC10A050FBF5E34DC68C9A7"
"C:\Data\PAL\SQLServer.xml","122.08","2/28/2012 3:02:58 PM","0BF9ADEB428C91C9ED0BBA4283C1ECBB"
"C:\Data\PAL\SQLServer2008R2.xml","230.01","5/30/2013 11:41:20 PM","0CE78EDCB414017597EB0BA16A0F9250"
"C:\Data\PAL\SystemOverview.xml","34.79","9/17/2013 8:59:14 AM","838C629796604E4E0A37A4546F8E93E2"
"C:\Data\PAL\TMG2010.xml","63.99","9/24/2013 11:59:06 PM","A5A28ED871FBE66C52723240F1A42A38"
"C:\Data\PAL\UAG2010.xml","61.04","11/27/2012 10:46:00 PM","D86648527928538CF56C589DE161DEBB"
"C:\Data\PAL\VMWare.xml","14.5","3/30/2012 8:13:44 AM","EE74E7F842FA9FEA8C2A213880E9D147"
"C:\Data\PAL\PerfmonLogScripts\CounterList_BizTalk2004.txt","0.31","3/6/2007 4:23:02 PM","F594C45F8699D480E11630CDFA5EEC00"
"C:\Data\PAL\PerfmonLogScripts\CounterList_BizTalk2006.txt","1.06","4/10/2007 8:12:32 AM","6665BD2E9A9DD7ED0A974506BEFBF16E"
"C:\Data\PAL\PerfmonLogScripts\Counterlist_IIS6.txt","0.48","5/1/2007 6:45:52 AM","99BBDBE24E38F7809CEC2CE9412E63C8"
"C:\Data\PAL\PerfmonLogScripts\CounterList_SystemOverview.txt","0.13","3/6/2007 9:22:10 PM","C23534EB2BD3636DCAA973F221B8601B"
"C:\Data\PAL\PerfmonLogScripts\CreateAndStartPerfmonLogs.vbs","8.47","4/10/2007 8:02:32 AM","950190134BBE22CEEC9503A5A0CC62CD"
"C:\Data\PAL\PerfmonLogScripts\MovePerfmonLogs.vbs","5.07","3/6/2007 7:16:32 PM","A012C476D7CBFBE4A44A8B764D052DC5"
"C:\Data\PAL\PerfmonLogScripts\Readme.txt","3.28","10/5/2007 4:23:00 PM","D1993AA4F0493F085F4797B26DAD5329"
"C:\Data\PAL\PerfmonLogScripts\StartPerfmonLogs.vbs","5.43","3/14/2007 9:48:28 AM","068024FA181730EDCB515EAED88E8A85"
"C:\Data\PAL\PerfmonLogScripts\StopPerfmonLogs.vbs","5.42","3/14/2007 9:48:48 AM","0FF88D2F1A3FF9AA00CC3E0341CB4393"
"C:\Data\psexec\computer.txt","0.6","10/22/2013 4:28:26 PM","8A64F061E59EA23BEC38BAAA2B60B6E0"
"C:\Data\psexec\PsExec.exe","372.87","10/8/2013 10:59:49 AM","AEEE996FD3484F28E5CD85FE26B6BDCD"
"C:\Data\psexec\PsRemoting.bat","10.06","10/23/2013 5:20:25 PM","0C39F381265C6A2B867DE8C247C107E5"
"C:\Data\scripts\deploy-snare1.ps1","3.7","10/25/2013 3:49:01 PM","8A711F91BC343CFEA52E0EC96EF7AB50"
"C:\Data\scripts\export-registry.ps1","2.91","10/22/2013 2:34:00 PM","07F69B9AD77AE3C99914142A08FB1C95"
"C:\Data\scripts\fixedincome-kb-compare.ps1","0.18","10/21/2013 8:09:18 AM","BCFBAD8916B4F2CAE16937BD8C8ED35E"
"C:\Data\scripts\gantcho.ps1","0.63","10/22/2013 8:44:44 AM","866BE70FCE251F061F1009A8BEF8C9AC"
"C:\Data\scripts\Generate-PsExec.ps1","0.33","10/23/2013 5:20:24 PM","94F58750024E776F6BC6B85E2E61D347"
"C:\Data\scripts\get-Java7Version.ps1","1.54","10/22/2013 8:44:41 AM","D764347FB59E5B5ECCA86DE8774BBE04"
"C:\Data\scripts\phl-it-testgroup.txt","0.06","10/17/2013 3:50:48 PM","2C1E7DCB93C49ED47DCD1FE4F7F84AE2"
"C:\Data\scripts\rsnare.bat","8.35","10/22/2013 2:02:12 PM","211F99D1E26EE6EA0C4DE81CCB31FCF9"
"C:\Data\sysint\accesschk.exe","320.69","10/8/2013 10:59:48 AM","9CD62994573A50A087474AD9ED6049E7"
"C:\Data\sysint\AccessEnum.exe","170.87","10/8/2013 10:59:48 AM","F4CD850FDAB64FFBBCC249374BA17F5B"
"C:\Data\sysint\AdExplorer.chm","49.2","10/8/2013 10:59:48 AM","9B43056228E3623772B0AD0D3D0474C4"
"C:\Data\sysint\ADExplorer.exe","468.59","10/8/2013 10:59:48 AM","5D70CF91907165A1425E4ECB4FFA03AA"
"C:\Data\sysint\ADInsight.chm","392.2","10/8/2013 10:59:48 AM","46419653F638BAC55A48CCBC05DBAD8F"
"C:\Data\sysint\ADInsight.exe","1025.04","10/8/2013 10:59:48 AM","E8E036E259B4F53763DADABAE1D9FB9E"
"C:\Data\sysint\adrestore.exe","146.8","10/8/2013 10:59:48 AM","03B7E47241775016B74BEC1B10894974"
"C:\Data\sysint\Autologon.exe","145.37","10/8/2013 10:59:48 AM","85CF5AB3417AA5ED266275A91E8FE385"
"C:\Data\sysint\autoruns.chm","48.36","10/8/2013 10:59:48 AM","6080566F2C5204DC3F2D293907BC4C04"
"C:\Data\sysint\autoruns.exe","645.69","10/8/2013 10:59:48 AM","A6E0D27AF296C251D4F0C62D018D5DA5"
"C:\Data\sysint\autorunsc.exe","565.69","10/8/2013 10:59:48 AM","6677B6017E5D470CF99EF60D1802BCCC"
"C:\Data\sysint\Bginfo.exe","827.19","10/8/2013 10:59:48 AM","3652BA8B882BF6C69AF70CE73CF0D616"
"C:\Data\sysint\Cacheset.exe","150.8","10/8/2013 10:59:48 AM","99936EC7843663C081BA7AD33AAB9D17"
"C:\Data\sysint\Clockres.exe","148.38","10/8/2013 10:59:48 AM","06B47FA5BFAA916CD68B38DCD3ABE68B"
"C:\Data\sysint\Contig.exe","203.09","10/8/2013 10:59:48 AM","A0B73982F48399E2B9FC99D54A2DC493"
"C:\Data\sysint\Coreinfo.exe","1444.59","10/8/2013 10:59:48 AM","8CE67CCD19AD85FED77326E8C7550FAF"
"C:\Data\sysint\ctrl2cap.amd.sys","9.87","10/8/2013 10:59:48 AM","7D2E1E3EFC4A39D9A6FB916951C64D4F"
"C:\Data\sysint\ctrl2cap.exe","146.8","10/8/2013 10:59:48 AM","C100EA4F0C45C916C795860FD1EB74CC"
"C:\Data\sysint\ctrl2cap.nt4.sys","2.8","10/8/2013 10:59:48 AM","4F4A4117FAE1C8A5DEE6C89BC39902C2"
"C:\Data\sysint\ctrl2cap.nt5.sys","2.77","10/8/2013 10:59:48 AM","B6802359522385FF0F561C8CF2DE46F4"
"C:\Data\sysint\dbgview.chm","66.93","10/8/2013 10:59:48 AM","C7517AF60D377F3FEAAE84DBC279E0E9"
"C:\Data\sysint\Dbgview.exe","457.09","10/8/2013 10:59:48 AM","BAACA87FE5AC99E0F1442B54E03056F4"
"C:\Data\sysint\Desktops.exe","114.09","10/8/2013 10:59:48 AM","1B389656D41D458413FB9E09F42105F5"
"C:\Data\sysint\Disk2vhd.chm","39.73","10/8/2013 10:59:48 AM","4071D250EFC7F7614424EBA635C65BB3"
"C:\Data\sysint\disk2vhd.exe","1725.69","10/8/2013 10:59:48 AM","742D7D1AC55F805178027404365F083E"
"C:\Data\sysint\diskext.exe","85.38","10/8/2013 10:59:48 AM","C3D3A06D3AEE0F6CB2FBB26B97CB1483"
"C:\Data\sysint\Diskmon.exe","218.8","10/8/2013 10:59:48 AM","0942C078FE8941282372BB6B5D73E2C8"
"C:\Data\sysint\DISKMON.HLP","9.3","10/8/2013 10:59:48 AM","F5768E7AB96D77E06006E1B8858E5238"
"C:\Data\sysint\DiskView.exe","567.37","10/8/2013 10:59:48 AM","16CCD5F530A930D9A03E3E06A6E1EC1B"
"C:\Data\sysint\DMON.SYS","11.45","10/8/2013 10:59:48 AM","E2B37C19D129357266FD94DD1443D6C9"
"C:\Data\sysint\du.exe","218.19","10/8/2013 10:59:48 AM","96EF10196A343B237A21A06C66FE02C0"
"C:\Data\sysint\efsdump.exe","142.8","10/8/2013 10:59:48 AM","4CEF8412C762F4840349E5622A05A307"
"C:\Data\sysint\Eula.txt","6.84","10/8/2013 10:59:48 AM","D22FF2CC70FA2EEC94AAA6C6F49E6EB0"
"C:\Data\sysint\FindLinks.exe","100.8","10/8/2013 10:59:48 AM","22E730E83572055FE9ABEA2F32711BF0"
"C:\Data\sysint\handle.exe","452.09","10/8/2013 10:59:48 AM","C8AE5979CE001F5FF34AC1D105839C1C"
"C:\Data\sysint\hex2dec.exe","146.8","10/8/2013 10:59:49 AM","7CDC143C63324081739B6D8607E7523C"
"C:\Data\sysint\junction.exe","146.87","10/8/2013 10:59:49 AM","F1F23D4DF41C5DA5444C97781FF2CAB7"
"C:\Data\sysint\ldmdump.exe","150.8","10/8/2013 10:59:49 AM","202119E519DD179DE64AFD195F0DDA42"
